raw,monotone,lisse,reciproque,verif
-2.429980039,-2.427669,-2.427669,-2.429980,-2.506591
-2.426170825,-2.424137,-2.424137,-2.426171,-2.499920
-2.437229394,-2.420677,-2.420677,-2.437229,-2.519034
-2.43669939,-2.417008,-2.417008,-2.436699,-2.518132
-2.404310703,-2.412445,-2.412445,-2.404311,-2.465444
-2.414359807,-2.408170,-2.408170,-2.414360,-2.480127
-2.407741785,-2.403832,-2.403832,-2.407742,-2.470428
-2.386889219,-2.399499,-2.399499,-2.386889,-2.439531
-2.380554676,-2.395309,-2.395309,-2.380555,-2.429705
-2.426898479,-2.391218,-2.391218,-2.426898,-2.501194
-2.373944282,-2.387005,-2.387005,-2.373944,-2.419113
-2.380592346,-2.382993,-2.382993,-2.380592,-2.429764
-2.389333724,-2.378937,-2.378937,-2.389334,-2.443216
-2.387841939,-2.375100,-2.375100,-2.387842,-2.440967
-2.378770112,-2.371260,-2.371260,-2.378770,-2.426849
-2.413432121,-2.367439,-2.367439,-2.413432,-2.478753
-2.318837642,-2.363530,-2.363530,-2.318838,-2.317480
-2.361037969,-2.359801,-2.359801,-2.361038,-2.398011
-2.385242938,-2.356214,-2.356214,-2.385243,-2.436979
-2.375112295,-2.352578,-2.352578,-2.375112,-2.420994
-2.375065088,-2.348929,-2.348929,-2.375065,-2.420918
-2.304065704,-2.345133,-2.345133,-2.304066,-2.288141
-2.060531854,-2.341707,-2.341707,-2.060532,-1.667564
-2.397415876,-2.338933,-2.338933,-2.397416,-2.455364
-2.319852113,-2.335718,-2.335718,-2.319852,-2.319429
-2.352392911,-2.332765,-2.332765,-2.352393,-2.383137
-2.343148946,-2.329810,-2.329810,-2.343149,-2.367321
-2.35184884,-2.326887,-2.326887,-2.351849,-2.382200
-2.356391429,-2.323978,-2.323978,-2.356391,-2.390020
-2.34384799,-2.320622,-2.320622,-2.343848,-2.368512
-2.291962623,-2.317348,-2.317348,-2.291963,-2.264475
-2.389830112,-2.314321,-2.314321,-2.389830,-2.443964
-2.324566125,-2.311056,-2.311056,-2.324566,-2.328619
-2.312970638,-2.307965,-2.307965,-2.312971,-2.305875
-2.3589015,-2.304817,-2.304817,-2.358901,-2.394337
-2.334533929,-2.301624,-2.301624,-2.334534,-2.349710
-2.304735422,-2.298369,-2.298369,-2.304735,-2.289452
-2.329937219,-2.295226,-2.295226,-2.329937,-2.340136
-2.315827131,-2.291935,-2.291935,-2.315827,-2.311566
-2.27086234,-2.288637,-2.288637,-2.270862,-2.215942
-2.377242088,-2.285628,-2.285628,-2.377242,-2.424403
-1.84708023,-2.282487,-2.282487,-1.847080,-1.112788
-2.231173038,-2.279734,-2.279734,-2.231173,-2.108557
-2.33402729,-2.277443,-2.277443,-2.334027,-2.348657
-2.281928062,-2.275151,-2.275151,-2.281928,-2.244311
-2.311513185,-2.273015,-2.273015,-2.311513,-2.302971
-2.327843666,-2.270967,-2.270967,-2.327844,-2.335647
-2.124335289,-2.268068,-2.268068,-2.124335,-1.821604
-2.347318887,-2.265813,-2.265813,-2.347319,-2.374430
-2.294811248,-2.263351,-2.263351,-2.294811,-2.270039
-2.29798007,-2.260812,-2.260812,-2.297980,-2.276234
-2.363048553,-2.258387,-2.258387,-2.363049,-2.401341
-2.187773227,-2.255627,-2.255627,-2.187773,-1.968296
-2.288467884,-2.253106,-2.253106,-2.288468,-2.257670
-2.311990499,-2.250781,-2.250781,-2.311990,-2.303922
-2.336422443,-2.248484,-2.248484,-2.336422,-2.353634
-2.189581155,-2.246121,-2.246121,-2.189581,-1.971527
-2.253765106,-2.244059,-2.244059,-2.253765,-2.172385
-2.310714006,-2.242169,-2.242169,-2.310714,-2.301376
-2.289994239,-2.240151,-2.240151,-2.289994,-2.260642
-2.296404123,-2.238210,-2.238210,-2.296404,-2.273153
-2.283729553,-2.236270,-2.236270,-2.283730,-2.248080
-2.180413246,-2.233646,-2.233646,-2.180413,-1.955904
-2.049325704,-2.231021,-2.231021,-2.049326,-1.659755
-2.346740007,-2.228396,-2.228396,-2.346740,-2.373443
-1.846081376,-2.225772,-2.225772,-1.846081,-1.112149
-2.14857912,-2.224064,-2.224064,-2.148579,-1.907928
-2.248624324,-2.222356,-2.222356,-2.248624,-2.158927
-2.2669909,-2.220854,-2.220854,-2.266991,-2.205733
-2.253406763,-2.219429,-2.219429,-2.253407,-2.171447
-2.241982221,-2.218128,-2.218128,-2.241982,-2.139680
-2.295689582,-2.217162,-2.217162,-2.295690,-2.271756
-2.195344924,-2.216196,-2.216196,-2.195345,-1.982208
-2.28483653,-2.215230,-2.215230,-2.284837,-2.250397
-2.31268239,-2.214299,-2.214299,-2.312682,-2.305301
-2.240475893,-2.213433,-2.213433,-2.240476,-2.134853
-2.238528013,-2.212567,-2.212567,-2.238528,-2.128611
-2.228770732,-2.211701,-2.211701,-2.228771,-2.102440
-2.270738363,-2.210963,-2.210963,-2.270738,-2.215615
-2.321799755,-2.207762,-2.207762,-2.321800,-2.323170
-2.01128745,-2.204547,-2.204547,-2.011287,-1.631411
-2.243127107,-2.201813,-2.201813,-2.243127,-2.143060
-2.207898378,-2.198647,-2.198647,-2.207898,-2.010149
-2.265115737,-2.195351,-2.195351,-2.265116,-2.200851
-2.245246648,-2.192004,-2.192004,-2.245247,-2.149192
-2.313623189,-2.188582,-2.188582,-2.313623,-2.307175
-2.174904823,-2.184841,-2.184841,-2.174905,-1.946957
-2.202988147,-2.180986,-2.180986,-2.202988,-1.997746
-2.286425113,-2.177131,-2.177131,-2.286425,-2.253691
-2.253055334,-2.173246,-2.173246,-2.253055,-2.170527
-2.259291172,-2.169361,-2.169361,-2.259291,-2.185996
-2.2063663,-2.165205,-2.165205,-2.206366,-2.006007
-2.212929964,-2.161049,-2.161049,-2.212930,-2.032775
-2.242782115,-2.156531,-2.156531,-2.242782,-2.142061
-2.223826408,-2.152013,-2.152013,-2.223826,-2.089090
-2.085289955,-2.147495,-2.147495,-2.085290,-1.686664
-1.990852475,-2.142977,-2.142977,-1.990852,-1.615940
-1.326963543,-2.138458,-2.138458,-1.326964,-0.196610
-2.31660676,-2.136457,-2.136457,-2.316607,-2.313119
-1.938086509,-2.134470,-2.134470,-1.938087,-1.576651
-2.086951255,-2.132686,-2.132686,-2.086951,-1.688156
-2.161463499,-2.131334,-2.131334,-2.161463,-1.925979
-2.246391296,-2.130111,-2.130111,-2.246391,-2.152504
-2.218044757,-2.128940,-2.128940,-2.218045,-2.065191
-2.198626041,-2.127844,-2.127844,-2.198626,-1.988530
-2.133598804,-2.127067,-2.127067,-2.133599,-1.878951
-2.247627258,-2.126404,-2.126404,-2.247627,-2.156080
-2.231141328,-2.125741,-2.125741,-2.231141,-2.108479
-2.287256479,-2.125108,-2.125108,-2.287256,-2.255310
-2.127157926,-2.124474,-2.124474,-2.127158,-1.845209
-2.235033512,-2.124112,-2.124112,-2.235034,-2.118062
-2.053555011,-2.123278,-2.123278,-2.053555,-1.662686
-2.299443483,-2.122806,-2.122806,-2.299443,-2.279096
-2.181935071,-2.122116,-2.122116,-2.181935,-1.958400
-2.184153318,-2.121302,-2.121302,-2.184153,-1.962038
-2.240374326,-2.120488,-2.120488,-2.240374,-2.134527
-2.179978132,-2.119626,-2.119626,-2.179978,-1.955191
